Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range
"Delayed Medical Care, Last 4 Weeks",National Estimate,United States,United States,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,38.7,38.1,39.4,38.1 - 39.4,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,18 - 29 years,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,34.8,32.5,37.2,32.5 - 37.2,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,30 - 39 years,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,37.3,35.6,39.0,35.6 - 39.0,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,40 - 49 years,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,40.3,39.0,41.7,39.0 - 41.7,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,50 - 59 years,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,40.7,39.3,42.2,39.3 - 42.2,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,60 - 69 years,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,42.1,40.6,43.7,40.6 - 43.7,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,70 - 79 years,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,38.1,36.3,39.9,36.3 - 39.9,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,80 years and above,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,31.1,26.9,35.7,26.9 - 35.7,
"Delayed Medical Care, Last 4 Weeks",By Sex,United States,Male,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,35.3,34.1,36.5,34.1 - 36.5,
"Delayed Medical Care, Last 4 Weeks",By Sex,United States,Female,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,42.1,41.2,43.0,41.2 - 43.0,
"Delayed Medical Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,35.0,32.7,37.4,32.7 - 37.4,
"Delayed Medical Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,40.3,39.7,40.9,39.7 - 40.9,
"Delayed Medical Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,36.7,34.5,38.9,34.5 - 38.9,
"Delayed Medical Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,33.5,30.4,36.7,30.4 - 36.7,
"Delayed Medical Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,41.7,38.5,45.0,38.5 - 45.0,
"Delayed Medical Care, Last 4 Weeks",By Education,United States,Less than a high school diploma,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,34.1,29.0,39.6,29.0 - 39.6,
"Delayed Medical Care, Last 4 Weeks",By Education,United States,High school diploma or GED,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,34.2,32.9,35.5,32.9 - 35.5,
"Delayed Medical Care, Last 4 Weeks",By Education,United States,Some college/Associate's degree,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,39.9,38.7,41.1,38.7 - 41.1,
"Delayed Medical Care, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,43.2,42.3,44.1,42.3 - 44.1,
"Delayed Medical Care, Last 4 Weeks",By State,Alabama,Alabama,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,37.6,32.4,43.1,32.4 - 43.1,36.5 - 38.7
"Delayed Medical Care, Last 4 Weeks",By State,Alaska,Alaska,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,42.6,38.5,46.9,38.5 - 46.9,41.0 - 44.9
"Delayed Medical Care, Last 4 Weeks",By State,Arizona,Arizona,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,36.5,33.5,39.5,33.5 - 39.5,36.5 - 38.7
"Delayed Medical Care, Last 4 Weeks",By State,Arkansas,Arkansas,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,41.3,35.4,47.5,35.4 - 47.5,41.0 - 44.9
"Delayed Medical Care, Last 4 Weeks",By State,California,California,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,39.5,36.3,42.7,36.3 - 42.7,38.8 - 40.9
"Delayed Medical Care, Last 4 Weeks",By State,Colorado,Colorado,1,1,Apr 23 - May 5,04/23/2020 12:00:00 AM,05/05/2020 12:00:00 AM,42.2,38.9,45.5,38.9 - 45.5,41.0 - 44.9
